rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
26,GWENT: The Witcher Card Game,320403,1.0 M,4,2.1,4.7,0.0,GAME CARD,253370,43423,9203,3437,10967,False
27,Spider Solitaire,313503,10.0 M,4,0.1,0.2,0.0,GAME CARD,247002,49280,8994,2338,5886,False
28,Order & Chaos Duels,311834,1.0 M,4,0.0,0.0,0.0,GAME CARD,204963,59535,18594,7042,21697,False
29,Spades Plus - Card Game,305751,10.0 M,4,0.4,0.9,0.0,GAME CARD,239774,24103,11159,6631,24083,False
30,Governor of Poker 2 - OFFLINE POKER GAME,290160,5.0 M,4,0.1,0.3,0.0,GAME CARD,181785,42321,20426,10233,35392,False
31,"Jawaker Trix, Tarneeb, Baloot, Hand & More",281352,10.0 M,4,5.3,11.6,0.0,GAME CARD,199329,10974,7664,4036,59346,False
32,Buraco Canasta Jogatina: Card Games For Free,265004,10.0 M,4,0.2,1.2,0.0,GAME CARD,177294,36354,18820,8577,23957,False
33,Governor of Poker 3 - Free Texas Holdem Card Games,263341,5.0 M,4,1.0,2.0,0.0,GAME CARD,190221,26703,9851,5793,30771,False
34,Texas Hold'em & Omaha Poker: Pokerist,245912,10.0 M,4,0.6,1.2,0.0,GAME CARD,159956,26398,12115,6172,41269,False
35,Indian Rummy: Play Rummy Game Online,240095,10.0 M,4,0.6,1.1,0.0,GAME CARD,158888,27598,14303,7201,32103,False
36,RummyCircle - Play Indian Rummy Online | Card Game,232276,10.0 M,4,0.7,1.2,0.0,GAME CARD,154927,28783,11168,5738,31658,False
37,FreeCell Solitaire,230415,10.0 M,4,0.5,1.2,0.0,GAME CARD,169079,43639,8617,2639,6438,False
38,TopFun Domino QiuQiu:Domino99 (KiuKiu),211163,5.0 M,4,0.8,1.6,0.0,GAME CARD,141282,14863,12545,7859,34611,False
39,Spades Royale - Best Online Spades Card Games App,208319,1.0 M,4,1.7,3.5,0.0,GAME CARD,175964,12836,6602,3371,9544,False
40,Solitaire TriPeaks Journey - Klondike Card Games,205537,5.0 M,4,1.6,3.4,0.0,GAME CARD,156282,28591,12716,3029,4918,False
41,Durak,202598,5.0 M,4,0.1,0.2,0.0,GAME CARD,145751,24108,8139,4224,20373,False
42,Spades Free,200923,5.0 M,4,0.0,0.0,0.0,GAME CARD,137772,38789,11720,4586,8053,False
43,Domino QiuQiu 2020 - Domino 99 · Gaple online,194946,5.0 M,4,3.4,69441.4,0.0,GAME CARD,158260,10262,8488,4393,13540,False
44,Scopa - Free Italian Card Game Online,191804,5.0 M,3,1.1,2.1,0.0,GAME CARD,115344,20710,10774,7259,37715,False
45,Microsoft Solitaire Collection,178476,5.0 M,4,1.5,3.1,0.0,GAME CARD,135825,19743,7755,4561,10590,False
46,Solitaire Arena,177098,1.0 M,4,0.0,0.0,0.0,GAME CARD,121906,34850,10285,3125,6930,False
47,Mango Capsa Susun,174545,5.0 M,3,0.2,0.4,0.0,GAME CARD,96745,13756,10747,6368,46927,False
48,Solitaire,172895,5.0 M,4,0.2,0.4,0.0,GAME CARD,136067,21789,6870,2356,5811,False
48,Solitaire,172895,5.0 M,4,0.2,0.4,0.0,GAME CARD,121771,32009,6485,1307,3182,False
48,Solitaire,172895,5.0 M,4,0.2,0.4,0.0,GAME CARD,114538,32551,6438,1309,2919,False
49,Soccer Spirits,170875,1.0 M,4,0.0,0.0,0.0,GAME CARD,111965,21094,10487,6272,21054,False
50,Belote.com - Free Belote Game,170181,1.0 M,4,55880.6,5.3,0.0,GAME CARD,116976,33175,10188,3336,6503,False
51,Solitaire,164757,5.0 M,4,0.1,0.1,0.0,GAME CARD,136067,21789,6870,2356,5811,False
51,Solitaire,164757,5.0 M,4,0.1,0.1,0.0,GAME CARD,121771,32009,6485,1307,3182,False
51,Solitaire,164757,5.0 M,4,0.1,0.1,0.0,GAME CARD,114538,32551,6438,1309,2919,False
52,Polskie Złote Zdrapki,163771,1.0 M,4,0.1,0.2,0.0,GAME CARD,123907,22509,8782,2537,6034,False
53,Solitaire,157757,5.0 M,4,1.0,2.7,0.0,GAME CARD,136067,21789,6870,2356,5811,False
53,Solitaire,157757,5.0 M,4,1.0,2.7,0.0,GAME CARD,121771,32009,6485,1307,3182,False
53,Solitaire,157757,5.0 M,4,1.0,2.7,0.0,GAME CARD,114538,32551,6438,1309,2919,False
54,Truco ZingPlay: Jogo de cartas online grátis,155922,1.0 M,4,0.2,0.4,0.0,GAME CARD,115228,10542,7061,4284,18804,False
55,ไพ่แคง - มีดัมมี่ ป๊อกเด้ง ไฮโล เก้าเก,155644,5.0 M,4,2.1,4.3,0.0,GAME CARD,129663,10105,5550,2561,7763,False
56,Fairway Solitaire - Card Game,154738,5.0 M,4,0.6,1.4,0.0,GAME CARD,116190,23913,7511,2297,4824,False
57,Solitaire: classic card game,153690,5.0 M,4,1.5,3.4,0.0,GAME CARD,136827,9554,2785,1257,3264,False
58,Dummy Hero,152145,1.0 M,4,0.2,0.3,0.0,GAME CARD,102186,25534,13116,3079,8228,False
59,Solitaire Collection,150087,5.0 M,4,0.4,1.1,0.0,GAME CARD,121848,19155,4401,1457,3224,False
60,Reigns,146718,500.0 k,4,0.1,0.1,2.99,GAME CARD,108356,25417,5887,2868,4187,True
61,Solitaire Classic,145613,5.0 M,4,0.7,1.6,0.0,GAME CARD,114843,19267,5656,1668,4177,False
62,Solitaire!,145481,10.0 M,4,0.0,0.0,0.0,GAME CARD,106115,27404,6189,1966,3803,False
63,The Elder Scrolls: Legends,143615,1.0 M,3,0.1,0.1,0.0,GAME CARD,85985,19159,9904,5796,22768,False
64,Solitaire,142577,10.0 M,4,1.4,2.9,0.0,GAME CARD,114899,14187,5903,2100,5485,False
65,Spider Solitaire,140758,10.0 M,4,0.4,1.0,0.0,GAME CARD,106869,21050,6134,1638,5065,False
65,Spider Solitaire,140758,10.0 M,4,0.4,1.0,0.0,GAME CARD,94475,20067,5296,1475,4247,False
66,Rummy 45 - Remi Etalat,138755,1.0 M,4,0.8,1.8,0.0,GAME CARD,117683,11887,3998,1196,3988,False
67,三國殺名將傳,137405,500.0 k,4,0.2,0.4,0.0,GAME CARD,92609,18503,10976,3668,11646,False
68,Classic Solitaire,136367,1.0 M,4,0.1,0.3,0.0,GAME CARD,101950,25090,4293,1417,3614,False
69,Eredan Arena PVP,127654,1.0 M,4,0.0,0.0,0.0,GAME CARD,96817,11631,5555,3667,9982,False
70,뉴 한판 맞고 (데이터 필요없는 무료 고스톱),127104,1.0 M,4,0.0,0.0,0.0,GAME CARD,76095,26217,12177,3596,9016,False
71,Descarte,126880,5.0 M,4,0.3,0.6,0.0,GAME CARD,83483,19818,9609,3609,10359,False
72,Spider Solitaire,125561,10.0 M,4,0.8,1.7,0.0,GAME CARD,106869,21050,6134,1638,5065,False
72,Spider Solitaire,125561,10.0 M,4,0.8,1.7,0.0,GAME CARD,94475,20067,5296,1475,4247,False
73,Phase 10: World Tour,124281,1.0 M,4,4.3,9.0,0.0,GAME CARD,91703,12202,4426,3912,12034,False
74,Pokémon TCG Online,121295,5.0 M,4,0.9,1.9,0.0,GAME CARD,85332,14387,6518,3129,11927,False
75,애니팡 맞고,116379,1.0 M,3,0.1,0.7,0.0,GAME CARD,58634,16991,13211,6370,21171,False
76,Belote Multiplayer,115102,1.0 M,4,1.3,3.1,0.0,GAME CARD,65184,33291,10404,1957,4263,False
77,피망 섯다,113870,1.0 M,4,0.5,0.5,0.0,GAME CARD,74180,16081,8035,3008,12563,False
78,大富豪BEST,113663,1.0 M,4,0.0,0.1,0.0,GAME CARD,63095,32122,11977,1919,4548,False
79,BlackJack 21 - Online Blackjack multiplayer casino,113566,5.0 M,4,0.2,0.3,0.0,GAME CARD,83970,12489,4286,2178,10641,False
80,Solitaire Showtime: Tri Peaks Solitaire Free & Fun,111394,1.0 M,4,5.7,121.1,0.0,GAME CARD,78190,20777,8995,1557,1874,False
81,한게임 신맞고 : 대한민국 원조 고스톱,109280,1.0 M,3,2.3,3.5,0.0,GAME CARD,62429,14950,9248,3981,18670,False
82,Absolute Bingo- Free Bingo Games Offline or Online,109069,10.0 M,4,0.0,0.1,0.0,GAME CARD,85752,15131,4027,1369,2788,False
83,Batak HD - İnternetsiz Batak,107962,10.0 M,4,0.2,0.4,0.0,GAME CARD,67747,14080,8338,3145,14649,False
84,Mega Hit Poker: Texas Holdem,107933,1.0 M,4,3.6,6.2,0.0,GAME CARD,78082,14437,5008,2001,8403,False
85,Spider Solitaire,107183,5.0 M,4,1.1,1.5,0.0,GAME CARD,83092,16456,3117,1348,3167,False
86,Solitaire,106773,5.0 M,4,4.3,8.9,0.0,GAME CARD,90322,9155,3306,1009,2979,False
86,Solitaire,106773,5.0 M,4,4.3,8.9,0.0,GAME CARD,88759,7238,2562,919,2954,False
86,Solitaire,106773,5.0 M,4,4.3,8.9,0.0,GAME CARD,66889,11772,5441,4213,10554,False
87,LG Smart Truco,106689,5.0 M,4,0.2,0.6,0.0,GAME CARD,68707,14719,7514,4051,11695,False
88,Solitaire Cruise: Classic Tripeaks Cards Games,103958,5.0 M,4,10.0,27.8,0.0,GAME CARD,70597,18028,8210,1847,5273,False
89,Gin Rummy Free,103945,1.0 M,4,0.1,0.3,0.0,GAME CARD,66476,25258,6709,1739,3759,False
90,Solitaire,102434,10.0 M,4,4.7,13.1,0.0,GAME CARD,90322,9155,3306,1009,2979,False
90,Solitaire,102434,10.0 M,4,4.7,13.1,0.0,GAME CARD,88759,7238,2562,919,2954,False
90,Solitaire,102434,10.0 M,4,4.7,13.1,0.0,GAME CARD,66889,11772,5441,4213,10554,False
91,Solitaire - Make Free Money & Play the Card Game,101659,1.0 M,4,1.3,2.8,0.0,GAME CARD,67959,14879,8459,2829,7529,False
92,Solitaire: Super Challenges,100719,1.0 M,4,0.0,0.1,0.0,GAME CARD,69497,20485,5637,1307,3791,False
93,Solitaire,98872,10.0 M,4,0.2,0.5,0.0,GAME CARD,90322,9155,3306,1009,2979,False
93,Solitaire,98872,10.0 M,4,0.2,0.5,0.0,GAME CARD,88759,7238,2562,919,2954,False
93,Solitaire,98872,10.0 M,4,0.2,0.5,0.0,GAME CARD,66889,11772,5441,4213,10554,False
94,Solitaire Tripeaks: Farm Adventure,97299,1.0 M,4,1.4,3.1,0.0,GAME CARD,73069,13513,5613,1787,3315,False
95,Cribbage Classic,97018,1.0 M,4,0.7,1.3,0.0,GAME CARD,68858,21134,3377,1368,2278,False
96,Tien Len - Southern Poker,94069,10.0 M,4,0.1,0.3,0.0,GAME CARD,67229,9785,8896,2076,6080,False
97,Otogi: Spirit Agents,91698,1.0 M,4,0.0,0.1,0.0,GAME CARD,59670,16308,6950,2426,6341,False
98,Happy Scratch,90695,1.0 M,4,0.3,0.8,0.0,GAME CARD,75861,4012,2827,1602,6391,False
99,Epic Cards Battle(TCG),90585,1.0 M,4,74.3,148.5,0.0,GAME CARD,56281,19515,8904,2133,3749,False
100,Age of Ishtaria - A.Battle RPG,88866,1.0 M,4,0.0,0.0,0.0,GAME CARD,49649,16835,7470,3670,11240,False
1,Zynga Poker™ – Free Texas Holdem Online Card Games,2582669,50.0 M,4,393.4,0.7,0.0,GAME CASINO,1821678,301722,110833,52012,296421,False
2,Slotomania™ Slots: Casino Slot Machine Games,1822223,50.0 M,4,0.8,1.7,0.0,GAME CASINO,1293272,259642,102017,42902,124388,False
3,Teen Patti Gold – Indian Family Card Game,1529589,50.0 M,4,1.0,1.9,0.0,GAME CASINO,1210258,112027,46530,24581,136190,False
4,Teen Patti by Octro - Real 3 Patti Game,1494419,50.0 M,4,0.3,0.5,0.0,GAME CASINO,1080443,110156,68549,41577,193691,False
5,Coin Dozer: Sweepstakes,1485440,50.0 M,4,0.3,0.6,0.0,GAME CASINO,1102560,158208,85517,34400,104752,False
6,House of Fun: Play Casino Slots,1418336,10.0 M,4,0.9,1.6,0.0,GAME CASINO,1065696,180009,82885,28435,61309,False
7,Scatter Slots - Las Vegas Casino Game 777 Online,1259099,10.0 M,4,0.9,1.9,0.0,GAME CASINO,933699,202401,78707,14826,29463,False
8,Lucky Day - Win Real Rewards,1006982,10.0 M,3,0.2,0.5,0.0,GAME CASINO,649353,60917,44026,37669,215015,False
9,Jackpot Party Casino Games: Spin FREE Casino Slots,925068,10.0 M,4,1.0,1.9,0.0,GAME CASINO,671012,153638,52961,14029,33425,False
10,Huuuge Casino™ Free Slots & Best Slot Machines 777,755734,10.0 M,4,0.4,1.0,0.0,GAME CASINO,533316,88102,42476,19261,72576,False
11,DoubleU Casino - Free Slots,664469,10.0 M,4,0.6,1.2,0.0,GAME CASINO,458507,97014,48182,19338,41426,False
12,Jackpot Slot Machines - Slots Era™ Vegas Casino,649856,5.0 M,4,0.8,1.8,0.0,GAME CASINO,476204,106016,39009,8107,20518,False
13,Caesars Slots: Casino Slots game,617349,10.0 M,4,0.9,1.8,0.0,GAME CASINO,424459,77519,39348,19359,56661,False
14,myVEGAS Slots: Las Vegas Casino Games & Slots,616294,10.0 M,4,0.0,0.0,0.0,GAME CASINO,457055,82563,30766,13683,32225,False
15,DH Texas Poker - Texas Hold'em,583815,10.0 M,4,0.0,0.1,0.0,GAME CASINO,380317,79701,41575,16718,65502,False
16,Gold Fish Casino Slots - FREE Slot Machine Games,556639,10.0 M,4,0.3,0.5,0.0,GAME CASINO,459497,44454,15369,7774,29543,False
17,BLACKJACK!,544905,10.0 M,4,0.0,0.1,0.0,GAME CASINO,392404,100738,26490,5663,19608,False
18,Hit it Rich! Lucky Vegas Casino Slot Machine Game,493071,5.0 M,4,0.2,0.5,0.0,GAME CASINO,344195,68441,30992,14931,34510,False
19,Cash Frenzy™ Casino – Free Slots Games,485882,10.0 M,4,0.2,0.5,0.0,GAME CASINO,404060,44200,14354,6230,17036,False
20,Wizard of Oz Free Slots Casino,482246,10.0 M,4,0.4,0.9,0.0,GAME CASINO,377560,57203,20891,7865,18725,False
21,Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี,477132,10.0 M,4,227105.7,2.2,0.0,GAME CASINO,367411,48463,28359,9074,23822,False
22,Full House Casino - Free Vegas Slots Machine Games,455282,5.0 M,4,0.1,0.1,0.0,GAME CASINO,365871,33169,22482,7247,26511,False
23,Slots (Golden HoYeah) - Casino Slots,431936,10.0 M,4,0.6,1.1,0.0,GAME CASINO,299466,49060,33254,12770,37384,False
24,Luxy Poker-Online Texas Holdem,423010,5.0 M,4,0.3,0.7,0.0,GAME CASINO,298900,42958,25401,11181,44567,False
25,Vegas Slots - DoubleDown Casino,422035,10.0 M,4,0.5,1.1,0.0,GAME CASINO,286143,56390,26064,15856,37580,False
26,Texas HoldEm Poker Deluxe,401912,10.0 M,4,0.0,0.0,0.0,GAME CASINO,280648,56377,27394,8958,28533,False
27,เก้าเกไทย,394704,10.0 M,4,0.1,0.3,0.0,GAME CASINO,309185,26459,17197,8513,33346,False
28,Cashman Casino: Casino Slots Machines! 2M Free!,392274,10.0 M,4,1.1,2.2,0.0,GAME CASINO,289544,46703,20683,9892,25450,False
29,Slots: Heart of Vegas™ – Free Casino Slots Games,377401,10.0 M,4,0.3,0.6,0.0,GAME CASINO,258486,45068,23157,11678,39010,False
30,Casino Jackpot Slots - Infinity Slots™ 777 Game,367694,1.0 M,4,0.1,0.1,0.0,GAME CASINO,278174,55844,18491,4517,10665,False
31,my KONAMI Slots - Casino Games & Fun Slot Machines,351166,5.0 M,4,0.5,1.2,0.0,GAME CASINO,248240,47419,22591,9903,23011,False
32,POP! Slots ™- Free Vegas Casino Slot Machine Games,343727,10.0 M,4,2.8,6.1,0.0,GAME CASINO,277118,21504,10762,6273,28067,False
33,Tycoon Casino Free Slots: Vegas Slot Machine Games,333168,5.0 M,4,0.9,2.0,0.0,GAME CASINO,293637,16901,7210,3485,11931,False
34,GSN Casino: Slots and Casino Games - Vegas Slots,318101,10.0 M,4,0.2,0.4,0.0,GAME CASINO,218298,35139,19922,11200,33540,False
35,Slots Pharaoh's Way Casino Games & Slot Machine,316679,10.0 M,4,0.1,0.2,0.0,GAME CASINO,252941,33956,12697,4255,12827,False
36,Lotsa Slots - Free Vegas Casino Slot Machines,313214,10.0 M,4,3.2,7.8,0.0,GAME CASINO,244252,38385,15608,4462,10504,False
37,Big Fish Casino - Play Slots and Casino Games,312113,10.0 M,4,0.0,0.0,0.0,GAME CASINO,238241,41399,13246,4698,14526,False
38,Tiến lên Miền Nam - Tiến Lên - ZingPlay,306937,10.0 M,4,0.8,1.6,0.0,GAME CASINO,248156,14000,6875,3866,34038,False
39,Club Vegas 2021: New Slots Games & Casino bonuses,306128,5.0 M,4,4.9,12.1,0.0,GAME CASINO,266535,19491,6879,2721,10498,False
40,麻將 明星3缺1麻將–台灣16張麻將Mahjong 、SLOT、Poker,292630,5.0 M,4,0.5,0.9,0.0,GAME CASINO,207533,29742,13572,5187,36593,False
41,Billionaire Casino Slots - The Best Slot Machines,272892,10.0 M,4,1.1,2.4,0.0,GAME CASINO,194550,29431,13763,6678,28469,False
42,Jackpot World™ - Free Vegas Casino Slots,272095,5.0 M,4,225.1,5.5,0.0,GAME CASINO,206509,33265,13164,4388,14767,False
43,"GAMEE Prizes - Play Free Games, WIN REAL CASH!",266126,10.0 M,4,5550.2,14.5,0.0,GAME CASINO,176379,35942,22679,9287,21836,False
44,NEW SLOTS 2021－free casino games & slot machines,265946,5.0 M,4,0.9,1.8,0.0,GAME CASINO,219920,23950,8698,2822,10553,False
45,Quick Hit Casino Games - Free Casino Slots Games,264556,10.0 M,4,0.5,1.1,0.0,GAME CASINO,189320,36506,18622,5091,15015,False
46,Tongits Go-Exciting and Competitive Card Game,258755,10.0 M,4,6.1,13.5,0.0,GAME CASINO,222685,12554,7642,3397,12474,False
47,Gaminator Casino Slots - Play Slot Machines 777,215021,5.0 M,4,1.0,2.3,0.0,GAME CASINO,170145,17010,7086,3398,17380,False
48,ไพ่เท็กซัสโบย่า-Boyaa Texas Poker โป๊กเกอร์มือโปร,211680,5.0 M,4,0.2,0.4,0.0,GAME CASINO,160936,22352,11006,3828,13555,False
49,Double Win Casino Slots - Free Video Slots Games,211511,1.0 M,4,1.1,2.2,0.0,GAME CASINO,174952,18748,7633,2843,7333,False
50,UTP - Ultimate Teen Patti (3 Patti),208279,10.0 M,4,0.4,0.7,0.0,GAME CASINO,146678,19467,7368,4159,30605,False
51,Free Slot Machines with Bonus Games!,207326,5.0 M,4,0.2,0.5,0.0,GAME CASINO,189655,7941,3925,1388,4415,False
52,Hot Shot Casino Free Slots Games: Real Vegas Slots,204371,5.0 M,4,0.2,0.4,0.0,GAME CASINO,147841,26775,14092,3867,11793,False
53,Bingo Tycoon,189656,10.0 M,4,54.5,0.0,0.0,GAME CASINO,127766,19807,11872,6245,23964,False
54,Coin Dozer: Casino,183628,5.0 M,4,0.6,1.1,0.0,GAME CASINO,141239,20865,10352,3829,7340,False
55,MONOPOLY Slots - Slot Machines,179520,5.0 M,4,1.1,2.2,0.0,GAME CASINO,139632,11699,5599,3789,18798,False
56,Willy Wonka Slots Free Casino,179001,1.0 M,4,0.5,1.1,0.0,GAME CASINO,138485,21446,8344,2918,7805,False
57,88 Fortunes Casino Games & Free Slot Machine Games,177051,1.0 M,4,0.7,1.4,0.0,GAME CASINO,154436,8822,3644,1672,8474,False
58,Roulette Royale - FREE Casino,174066,10.0 M,4,1.4,2.7,0.0,GAME CASINO,123770,19227,11002,5367,14697,False
59,Slots Free - Big Win Casino™,173372,5.0 M,4,0.0,0.0,0.0,GAME CASINO,126569,21203,10941,4076,10581,False
60,Pmang Poker : Casino Royal,172651,5.0 M,4,0.7,0.9,0.0,GAME CASINO,106066,26042,13410,4426,22704,False
61,Slotpark - Online Casino Games & Free Slot Machine,172200,5.0 M,4,1.4,3.0,0.0,GAME CASINO,123431,19427,8684,4217,16439,False
62,Slots Casino - Jackpot Mania,170510,5.0 M,4,0.3,0.6,0.0,GAME CASINO,144759,10409,4881,2271,8188,False
63,Bingo by Alisa - Free Live Multiplayer Bingo Games,154112,1.0 M,4,0.0,0.0,0.0,GAME CASINO,119255,21177,7308,2113,4257,False
64,Poker Texas Boyaa,146663,5.0 M,3,0.1,0.2,0.0,GAME CASINO,84613,13974,13184,5793,29096,False
65,Scratch Day,145635,5.0 M,3,0.1,0.3,0.0,GAME CASINO,88085,17381,12934,5744,21490,False
66,Cổng game ZingPlay - Game bài - Game cờ - Tiến lên,142948,10.0 M,3,1.5,3.1,0.0,GAME CASINO,95538,7899,5039,2809,31659,False
67,Slot Machine - FREE Casino,141345,10.0 M,4,11.4,22.9,0.0,GAME CASINO,83149,26077,14384,5285,12447,False
68,Rock N' Cash Casino Slots -Free Vegas Slot Games,140882,1.0 M,4,2.5,5.6,0.0,GAME CASINO,103574,20093,9394,2580,5239,False
69,Slots: Get Rich Free Slots Casino Games Offline,139860,1.0 M,4,0.7,1.4,0.0,GAME CASINO,126642,5717,2420,1095,3984,False
70,Bingo Journey - Lucky & Fun Casino Bingo Games,138883,1.0 M,4,2.4,4.7,0.0,GAME CASINO,103586,18665,8883,2911,4835,False
71,Best Casino Free Slots: Casino Slot Machine Games,131646,1.0 M,4,0.0,0.0,0.0,GAME CASINO,85071,22022,10736,4148,9666,False
72,Stars Slots - Casino Games,126322,1.0 M,4,2.6,5.6,0.0,GAME CASINO,103766,10635,5038,1742,5138,False
73,Jackpot Magic Slots™: Social Casino & Slot Games,125918,5.0 M,4,0.1,0.2,0.0,GAME CASINO,88160,15582,6712,2896,12565,False
74,Bingo Holiday: Free Bingo Games,123277,1.0 M,4,3.6,6.3,0.0,GAME CASINO,90489,20226,8054,1588,2918,False
75,Free Slots!,122801,5.0 M,4,0.8,1.9,0.0,GAME CASINO,110967,5426,2458,1019,2928,False
76,ไพ่แคง-รวมดัมมี่dummy ป๊อกเด้ง เก้าเกไทย เกมไพ่ฟรี,120434,1.0 M,4,1.5,3.0,0.0,GAME CASINO,104694,7396,4236,1375,2731,False
77,Cash Storm Casino - Free Vegas Jackpot Slots Games,117668,1.0 M,4,106.2,4.2,0.0,GAME CASINO,102696,5785,3091,1401,4692,False
78,Free Slots Casino - Adventures,116891,1.0 M,4,0.0,0.1,0.0,GAME CASINO,103484,5940,2023,807,4634,False
79,myVEGAS Blackjack 21 - Free Vegas Casino Card Game,116673,1.0 M,4,0.1,0.1,0.0,GAME CASINO,93674,13383,3198,1609,4807,False
80,Cash Blitz Free Slots: Casino Slot Machine Games,112869,1.0 M,4,4.1,9.6,0.0,GAME CASINO,102054,5274,2202,730,2607,False
81,SLOTS - Black Diamond Casino,107509,1.0 M,4,0.1,0.2,0.0,GAME CASINO,79688,14753,3703,2096,7267,False
82,Winning Slots casino games:free vegas slot machine,107253,5.0 M,4,0.3,0.7,0.0,GAME CASINO,83222,6679,4141,3006,10203,False
83,ไพ่เท็กซัสไทย HD,103380,1.0 M,4,0.0,0.1,0.0,GAME CASINO,78160,10300,5230,1980,7710,False
84,Vegas Downtown Slots™ - Slot Machines & Word Games,102352,1.0 M,4,0.0,0.0,0.0,GAME CASINO,76766,11076,5291,2353,6863,False
85,ดัมมี่ไทยแลนด์-รวมไพ่แคง เก้าเก ไฮโล เกมไพ่ฟรี,100479,1.0 M,4,2.4,5.5,0.0,GAME CASINO,91237,3977,2043,877,2342,False
86,Bingo™,99465,5.0 M,4,0.0,0.0,0.0,GAME CASINO,71856,12049,6509,2619,6429,False
87,Slots on Tour Casino - Vegas Slot Machine Games HD,99082,500.0 k,4,0.1,0.2,0.0,GAME CASINO,78458,14511,3405,749,1957,False
88,Lightning Link Casino: Best Vegas Casino Slots!,97488,5.0 M,4,3.1,5.5,0.0,GAME CASINO,64510,12362,5972,3254,11387,False
89,Spin Day - Win Real Money,94814,1.0 M,3,0.1,0.2,0.0,GAME CASINO,47906,8026,7360,4920,26599,False
90,Old Vegas Slots – Classic Slots Casino Games,94628,1.0 M,4,0.2,0.3,0.0,GAME CASINO,78741,7178,3029,1389,4289,False
91,Royal Casino,92912,5.0 M,4,2.1,5.4,0.0,GAME CASINO,67690,7454,4956,2668,10142,False
92,OMG! Fortune Slots - Grand Casino Games,90370,1.0 M,4,0.0,0.0,0.0,GAME CASINO,68116,10388,5149,1826,4889,False
93,Blackjack 21,90110,1.0 M,4,0.0,0.0,0.0,GAME CASINO,65034,10141,3586,2191,9155,False
94,Bingo Blaze - Free Bingo Games,89886,1.0 M,4,0.7,1.4,0.0,GAME CASINO,72362,9441,4365,1308,2407,False
95,Fun Big 2,87528,1.0 M,4,0.0,0.0,0.0,GAME CASINO,73570,6359,3015,1128,3454,False
96,Lotto Scratch – Las Vegas,87102,1.0 M,4,0.2,0.5,0.0,GAME CASINO,72719,6222,2636,1238,4284,False
97,Slots: Free Slot Machines,86366,1.0 M,4,0.3,0.9,0.0,GAME CASINO,66745,8015,4197,2003,5403,False
98,Jackpot Crush – Free Vegas Slot Machines,85258,1.0 M,4,4.2,9.7,0.0,GAME CASINO,68846,9410,2950,960,3090,False
99,High 5 Casino: The Home of Fun & Free Vegas Slots,84646,1.0 M,4,0.2,0.5,0.0,GAME CASINO,60073,8840,4614,2856,8260,False
100,Slots! CashHit Slot Machines & Casino Games Party,83313,1.0 M,4,0.1,0.3,0.0,GAME CASINO,64498,9941,3313,1247,4311,False
1,Candy Crush Saga,31367945,1000.0 M,4,0.9,1.6,0.0,GAME CASUAL,23837448,4176798,1534041,486005,1333650,False
2,My Talking Tom,16810315,500.0 M,4,0.3,0.5,0.0,GAME CASUAL,12234051,1514188,851145,465627,1745303,False
3,My Talking Angela,13050503,500.0 M,4,0.6,1.4,0.0,GAME CASUAL,9165205,1073761,636763,399662,1775110,False
4,Hay Day,12098786,100.0 M,4,0.5,1.2,0.0,GAME CASUAL,9031154,1239752,599727,297910,930241,False
5,Pou,11506051,500.0 M,4,0.2,0.5,0.0,GAME CASUAL,8175679,1051014,688712,346244,1244400,False
6,Gardenscapes,10721875,100.0 M,4,0.6,1.5,0.0,GAME CASUAL,7566483,1406080,591119,264105,894086,False
7,Minion Rush: Despicable Me Official Game,10659387,100.0 M,4,0.0,0.1,0.0,GAME CASUAL,7884729,1105063,542317,236861,890414,False
8,Homescapes,10159890,100.0 M,4,0.8,2.1,0.0,GAME CASUAL,7089644,1367797,604525,262575,835347,False
9,Farm Heroes Saga,9123920,100.0 M,4,0.6,1.2,0.0,GAME CASUAL,7097079,1176491,433227,128489,288631,False
10,Township,8306868,100.0 M,4,0.6,1.2,0.0,GAME CASUAL,5666720,959679,483208,261701,935558,False
11,Candy Crush Soda Saga,8071775,100.0 M,4,0.4,0.8,0.0,GAME CASUAL,6031478,1145290,420595,132006,342404,False
12,Plants vs Zombies™ 2 Free,6964142,100.0 M,4,0.5,1.1,0.0,GAME CASUAL,5161994,738250,337096,159672,567126,False
13,Coin Master,5768595,100.0 M,4,2.0,5.0,0.0,GAME CASUAL,4089427,617190,303609,139343,619023,False
14,Angry Birds 2,5720687,100.0 M,4,0.4,0.9,0.0,GAME CASUAL,4040927,701272,315427,150412,512646,False
15,My Cafe — Restaurant Game. Serve & Manage,4170408,50.0 M,4,0.6,1.4,0.0,GAME CASUAL,3234679,428334,200017,86064,221311,False
16,The Simpsons™: Tapped Out,4079806,100.0 M,4,0.1,0.2,0.0,GAME CASUAL,2650097,486532,256817,141989,544370,False
17,My Talking Tom 2,3617773,100.0 M,4,2.0,4.6,0.0,GAME CASUAL,2619420,297742,172533,114892,413183,False
18,Bubble Witch 2 Saga,2954685,100.0 M,4,252.7,0.1,0.0,GAME CASUAL,2182994,442668,186915,45788,96317,False
19,FarmVille 2: Country Escape,2914639,50.0 M,4,0.3,0.5,0.0,GAME CASUAL,1994505,407586,195237,87860,229449,False
